SUBJECT,Subject,LOCATION,Country,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
PRINTO01,"Production of total industry sa, Index",AUS,Australia,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,109.826,,
PRINTO01,"Production of total industry sa, Index",AUT,Austria,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,113.2094,,
PRINTO01,"Production of total industry sa, Index",BEL,Belgium,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,113.9572,,
PRINTO01,"Production of total industry sa, Index",CAN,Canada,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,108.8496,,
PRINTO01,"Production of total industry sa, Index",CZE,Czech Republic,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,113.2395,,
PRINTO01,"Production of total industry sa, Index",DNK,Denmark,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,111.325,,
PRINTO01,"Production of total industry sa, Index",FIN,Finland,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,113.0167,,
PRINTO01,"Production of total industry sa, Index",FRA,France,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,103.6683,,
PRINTO01,"Production of total industry sa, Index",DEU,Germany,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,101.7585,,
PRINTO01,"Production of total industry sa, Index",GRC,Greece,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,107.9667,,
PRINTO01,"Production of total industry sa, Index",HUN,Hungary,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,115.868,,
PRCNTO01,"Production of total construction sa, Index",ISL,Iceland,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,189.5797,E,Estimated value
PRINTO01,"Production of total industry sa, Index",IRL,Ireland,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,104.0493,,
PRINTO01,"Production of total industry sa, Index",ITA,Italy,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,105.1579,,
PRINTO01,"Production of total industry sa, Index",JPN,Japan,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,101.1916,,
PRINTO01,"Production of total industry sa, Index",KOR,Korea,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,106.6833,,
PRINTO01,"Production of total industry sa, Index",LUX,Luxembourg,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,98.99992,,
PRMNTO01,"Production in total manufacturing sa, Index",MEX,Mexico,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,106.5131,P,Provisional value
PRINTO01,"Production of total industry sa, Index",NLD,Netherlands,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,102.3581,,
PRINTO01,"Production of total industry sa, Index",NZL,New Zealand,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,105.4481,,
PRINTO01,"Production of total industry sa, Index",NOR,Norway,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,92.47478,,
PRINTO01,"Production of total industry sa, Index",POL,Poland,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,120.9083,,
PRINTO01,"Production of total industry sa, Index",PRT,Portugal,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,103.8625,,
PRINTO01,"Production of total industry sa, Index",SVK,Slovak Republic,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,113.3761,,
PRINTO01,"Production of total industry sa, Index",ESP,Spain,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,106.074,,
PRINTO01,"Production of total industry sa, Index",SWE,Sweden,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,111.4574,,
PRINTO01,"Production of total industry sa, Index",CHE,Switzerland,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,116.75,,
PRINTO01,"Production of total industry sa, Index",TUR,Türkiye,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,113.3072,,
PRINTO01,"Production of total industry sa, Index",GBR,United Kingdom,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,106.1019,,
PRINTO01,"Production of total industry sa, Index",USA,United States,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,101.6261,,
PRINTO01,"Production of total industry sa, Index",BRA,Brazil,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,95.80695,,
PRINTO01,"Production of total industry sa, Index",CHL,Chile,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,102.7743,,
PRINTO01,"Production of total industry sa, Index",EST,Estonia,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,120.4934,,
PRINTO01,"Production of total industry sa, Index",IND,India,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,115.3053,,
PRMNTO01,"Production in total manufacturing sa, Index",IDN,Indonesia,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,117.8921,,
PRINTO01,"Production of total industry sa, Index",ISR,Israel,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,108.064,,
PRINTO01,"Production of total industry sa, Index",RUS,Russia,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,113.1083,,
PRINTO01,"Production of total industry sa, Index",SVN,Slovenia,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,124.4687,,
PRMNTO01,"Production in total manufacturing sa, Index",ZAF,South Africa,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,99.88345,,
SLRTTO01,"Total retail trade (Volume) sa, Index",G-7,G7,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,106.6368,,
SLRTTO01,"Total retail trade (Volume) sa, Index",OECD,OECD - Total,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,107.861,,
PRMNTO01,"Production in total manufacturing sa, Index",LVA,Latvia,Q,Quarterly,2019-Q1,Q1-2019,IDX,Index,0,Units,2015_100,2015=100,121.2,,
SLRTTO01,"Total retail trade (Volume) sa, Index",COL,Colombia,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,114.0469,,
PRMNVG01,"Production of total manufactured investment goods sa, Index",EA19,Euro area (19 countries),Q,Quarterly,2019-Q1,Q1-2019,IDX,Index,0,Units,2015_100,2015=100,107.3667,,
PRCNTO01,"Production of total construction sa, Index",CRI,Costa Rica,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,79.4525,,
PRMNTO01,"Production in total manufacturing sa, Index",LTU,Lithuania,A,Annual,2019,2019,IDX,Index,0,Units,2015_100,2015=100,121.0965,,
PRMNVG01,"Production of total manufactured investment goods sa, Index",EU27_2020,European Union – 27 countries (from 01/02/2020),Q,Quarterly,2019-Q1,Q1-2019,IDX,Index,0,Units,2015_100,2015=100,109.0909,,
