"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",109.826,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",109.0496,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",109.7948,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2019-Q1","Q1-2019","IDX","Index","0","Units","2015_100","2015=100",108.3584,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2019-Q2","Q2-2019","IDX","Index","0","Units","2015_100","2015=100",109.4156,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2019-Q3","Q3-2019","IDX","Index","0","Units","2015_100","2015=100",110.4455,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2019-Q4","Q4-2019","IDX","Index","0","Units","2015_100","2015=100",111.135,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2020-Q1","Q1-2020","IDX","Index","0","Units","2015_100","2015=100",111.0092,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2020-Q2","Q2-2020","IDX","Index","0","Units","2015_100","2015=100",108.0342,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2020-Q3","Q3-2020","IDX","Index","0","Units","2015_100","2015=100",108.3076,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2020-Q4","Q4-2020","IDX","Index","0","Units","2015_100","2015=100",108.6708,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2021-Q1","Q1-2021","IDX","Index","0","Units","2015_100","2015=100",109.5299,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2021-Q2","Q2-2021","IDX","Index","0","Units","2015_100","2015=100",109.5641,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2021-Q3","Q3-2021","IDX","Index","0","Units","2015_100","2015=100",110.1341,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2021-Q4","Q4-2021","IDX","Index","0","Units","2015_100","2015=100",109.9091,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2022-Q1","Q1-2022","IDX","Index","0","Units","2015_100","2015=100",109.7232,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","Q","Quarterly","2022-Q2","Q2-2022","IDX","Index","0","Units","2015_100","2015=100",110.0593,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",98.94402,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",97.64246,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",101.6962,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2019-Q1","Q1-2019","IDX","Index","0","Units","2015_100","2015=100",99.22731,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2019-Q2","Q2-2019","IDX","Index","0","Units","2015_100","2015=100",98.5853,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2019-Q3","Q3-2019","IDX","Index","0","Units","2015_100","2015=100",98.20992,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2019-Q4","Q4-2019","IDX","Index","0","Units","2015_100","2015=100",99.71846,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2020-Q1","Q1-2020","IDX","Index","0","Units","2015_100","2015=100",101.4165,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2020-Q2","Q2-2020","IDX","Index","0","Units","2015_100","2015=100",93.37204,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2020-Q3","Q3-2020","IDX","Index","0","Units","2015_100","2015=100",97.14692,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2020-Q4","Q4-2020","IDX","Index","0","Units","2015_100","2015=100",98.50812,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2021-Q1","Q1-2021","IDX","Index","0","Units","2015_100","2015=100",100.8271,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2021-Q2","Q2-2021","IDX","Index","0","Units","2015_100","2015=100",102.2654,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2021-Q3","Q3-2021","IDX","Index","0","Units","2015_100","2015=100",100.7744,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2021-Q4","Q4-2021","IDX","Index","0","Units","2015_100","2015=100",102.8689,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2022-Q1","Q1-2022","IDX","Index","0","Units","2015_100","2015=100",103.9389,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","Q","Quarterly","2022-Q2","Q2-2022","IDX","Index","0","Units","2015_100","2015=100",102.8443,,
"SLRTTO01","Total retail trade (Volume) sa, Index","AUS","Australia","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",107.6097,,
"SLRTTO01","Total retail trade (Volume) sa, Index","AUS","Australia","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",110.4961,,
"SLRTTO01","Total retail trade (Volume) sa, Index","AUS","Australia","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",114.3152,,
"SLRTTO01","Total retail trade (Volume) sa, Index","AUS","Australia","Q","Quarterly","2019-Q1","Q1-2019","IDX","Index","0","Units","2015_100","2015=100",107.5795,,
"SLRTTO01","Total retail trade (Volume) sa, Index","AUS","Australia","Q","Quarterly","2019-Q2","Q2-2019","IDX","Index","0","Units","2015_100","2015=100",107.6865,,
"SLRTTO01","Total retail trade (Volume) sa, Index","AUS","Australia","Q","Quarterly","2019-Q3","Q3-2019","IDX","Index","0","Units","2015_100","2015=100",107.8048,,
"SLRTTO01","Total retail trade (Volume) sa, Index","AUS","Australia","Q","Quarterly","2019-Q4","Q4-2019","IDX","Index","0","Units","2015_100","2015=100",107.9291,,
"SLRTTO01","Total retail trade (Volume) sa, Index","AUS","Australia","Q","Quarterly","2020-Q1","Q1-2020","IDX","Index","0","Units","2015_100","2015=100",109.2537,,
"SLRTTO01","Total retail trade (Volume) sa, Index","AUS","Australia","Q","Quarterly","2020-Q2","Q2-2020","IDX","Index","0","Units","2015_100","2015=100",105.3428,,
"SLRTTO01","Total retail trade (Volume) sa, Index","AUS","Australia","Q","Quarterly","2020-Q3","Q3-2020","IDX","Index","0","Units","2015_100","2015=100",112.0985,,
"SLRTTO01","Total retail trade (Volume) sa, Index","AUS","Australia","Q","Quarterly","2020-Q4","Q4-2020","IDX","Index","0","Units","2015_100","2015=100",114.127,,
"SLRTTO01","Total retail trade (Volume) sa, Index","AUS","Australia","Q","Quarterly","2021-Q1","Q1-2021","IDX","Index","0","Units","2015_100","2015=100",113.8597,,
"SLRTTO01","Total retail trade (Volume) sa, Index","AUS","Australia","Q","Quarterly","2021-Q2","Q2-2021","IDX","Index","0","Units","2015_100","2015=100",114.5974,,
"SLRTTO01","Total retail trade (Volume) sa, Index","AUS","Australia","Q","Quarterly","2021-Q3","Q3-2021","IDX","Index","0","Units","2015_100","2015=100",109.5765,,
"SLRTTO01","Total retail trade (Volume) sa, Index","AUS","Australia","Q","Quarterly","2021-Q4","Q4-2021","IDX","Index","0","Units","2015_100","2015=100",118.0593,,
"SLRTTO01","Total retail trade (Volume) sa, Index","AUS","Australia","Q","Quarterly","2022-Q1","Q1-2022","IDX","Index","0","Units","2015_100","2015=100",119.2858,,
"SLRTTO01","Total retail trade (Volume) sa, Index","AUS","Australia","Q","Quarterly","2022-Q2","Q2-2022","IDX","Index","0","Units","2015_100","2015=100",120.9567,,
"SLRTCR03","Passenger car registrations sa, Index","AUS","Australia","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",61.56437,"E","Estimated value"
"SLRTCR03","Passenger car registrations sa, Index","AUS","Australia","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",43.06076,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",73.73349,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",77.89011,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",95.45898,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2019-Q1","Q1-2019","IDX","Index","0","Units","2015_100","2015=100",75.97023,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2019-Q2","Q2-2019","IDX","Index","0","Units","2015_100","2015=100",73.1273,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2019-Q3","Q3-2019","IDX","Index","0","Units","2015_100","2015=100",70.24029,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2019-Q4","Q4-2019","IDX","Index","0","Units","2015_100","2015=100",75.59615,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2020-Q1","Q1-2020","IDX","Index","0","Units","2015_100","2015=100",73.91666,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2020-Q2","Q2-2020","IDX","Index","0","Units","2015_100","2015=100",70.05127,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2020-Q3","Q3-2020","IDX","Index","0","Units","2015_100","2015=100",77.13493,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2020-Q4","Q4-2020","IDX","Index","0","Units","2015_100","2015=100",90.45759,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2021-Q1","Q1-2021","IDX","Index","0","Units","2015_100","2015=100",99.74554,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2021-Q2","Q2-2021","IDX","Index","0","Units","2015_100","2015=100",103.7139,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2021-Q3","Q3-2021","IDX","Index","0","Units","2015_100","2015=100",95.06601,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2021-Q4","Q4-2021","IDX","Index","0","Units","2015_100","2015=100",83.31048,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2022-Q1","Q1-2022","IDX","Index","0","Units","2015_100","2015=100",78.50883,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2022-Q2","Q2-2022","IDX","Index","0","Units","2015_100","2015=100",79.89125,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","Q","Quarterly","2022-Q3","Q3-2022","IDX","Index","0","Units","2015_100","2015=100",80.80536,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2019-01","Jan-2019","IDX","Index","0","Units","2015_100","2015=100",76.15701,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2019-02","Feb-2019","IDX","Index","0","Units","2015_100","2015=100",79.4229,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2019-03","Mar-2019","IDX","Index","0","Units","2015_100","2015=100",72.3308,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2019-04","Apr-2019","IDX","Index","0","Units","2015_100","2015=100",70.70178,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2019-05","May-2019","IDX","Index","0","Units","2015_100","2015=100",74.30051,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2019-06","Jun-2019","IDX","Index","0","Units","2015_100","2015=100",74.3796,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2019-07","Jul-2019","IDX","Index","0","Units","2015_100","2015=100",67.40154,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2019-08","Aug-2019","IDX","Index","0","Units","2015_100","2015=100",71.478,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2019-09","Sep-2019","IDX","Index","0","Units","2015_100","2015=100",71.84132,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2019-10","Oct-2019","IDX","Index","0","Units","2015_100","2015=100",70.37581,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2019-11","Nov-2019","IDX","Index","0","Units","2015_100","2015=100",76.3146,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2019-12","Dec-2019","IDX","Index","0","Units","2015_100","2015=100",80.09806,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2015_100","2015=100",72.38504,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2015_100","2015=100",78.17793,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2015_100","2015=100",71.18701,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units","2015_100","2015=100",78.55695,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-05","May-2020","IDX","Index","0","Units","2015_100","2015=100",69.23911,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units","2015_100","2015=100",62.35776,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units","2015_100","2015=100",76.99652,,
